,en,fr,it,zh,de,es,ko,sv,hu,ja,nl,ru
MINE_HELP,Click and hold the tile to mine!,Cliquez et maintenez la tuile pour miner!,,点击并按住方块开始挖矿！,Das Feld angeklickt halten um Abzubauen!,Mantén click para minar!,,Klicka och tryck för att gräva!,Tartsd nyomva az egeret a bányászáshoz,タイルをクリックして保持してください！,Klik en houd vast om te delven!,"Нажмите и удерживайте плитку, чтобы добывать!"
NO_PICKAXE,You don't have a pickaxe to mine! Buy one from the shop.,Vous n'avez pas de pioche pour miner! Achetez-en une dans la boutique.,Non hai un piccone per scavare! Compralo al negozio.,你没有可以挖矿的矿镐！快去商城买一个吧。,"Du hast keine Spitzhacke, kaufe eine im Shop",No tienes un pico para minar! Compra uno de la tienda,,Du har inte en hacka! Köp en i butiken.,Nincs csákányod! Vegyél egyet a boltban.,つるはしを持ってないのに採掘できるのか！？お店で買ってください。,Je hebt geen pikhouweel om te delven! Koop er een in de winkel,У вас нет кирки для добычи! Купите ее в магазине.
NO_PICKAXE_TITLE,No pickaxe,Pas de pioche,Manca un piccone,没有矿镐,Keine Spitzhacke,No tienes pico,곡괭이 없음,Ingen hacka,Nincs csákányod!,つるはしがない,Geen pikhouweel,Нет кирки
BUY_ONE,Buy one,Acheter,Comprane uno,买一个,Eine Kaufen,Comprar uno,하나 사기,Köp en,Megvesz egyet,購入する,Koop één,Купить один
LATER,Later,Plus tard,Più tardi,稍后,Später,Más tarde,나중에,Senare,Később,後日談,Later,Позже
CLICK_TILE_TO_CONSTRUCT,Click on an empty tile to construct,Cliquez sur une tuile vide pour construire,Clicca una tile vuota per costruire,选定一块空地来建造,Klicke auf ein leeres Feld um etwas zu konstruieren,Haz clic en una casilla vacía para construir,,Klicka på en tom ruta för att konstruera,Kattints egy üres négyzerte az építéshez,空のタイルをクリックして構築する,Klik op een leeg veld om te bouwen,"Нажмите на пустую плитку, чтобы построить"
HOME_PLANET,Home planet,Planète originelle,,文明发源地,Heimatplanet,Planeta hogar,,Hem planet,Hazabolygó,ホームプラネット,Thuisplaneet,Домашняя планета
SOLAR_SYSTEM,Solar system,Système solaire,Sistema solare,太阳系,Sonnensystem,Sistema solar,태양계,Solsystem,Naprendszer,ソーラーシステム,Zonnestelsel,Звездная система
MILKY_WAY,Milky Way,Voie lactée,Via Lattea,银河系,Milchstraße,Via Láctea,우리은하,Vintergatan,Tejútrendszer,天の川,Melkweg,Млечный путь
LOCAL_GROUP,Local Group,Groupe local,Gruppo Locale,本星系群,Lokale Gruppe,Grupo Local,,Lokalgrupp,Lokális csoport,ローカルグループ,Lokale Groep,Локальная группа
LANIAKEA,Laniakea Supercluster,Laniakea,Laniakea,拉尼亚凯亚超星团,Laniakea Supergalaxienhaufen,Supercúmulo de Laniakea,,Laniakea superkluster,Laniakea szuperhalmaz,ラニアケア超巨大星雲,Laniakea Supercluster,Ланиакеа суперкластер
PLANET,Planet,Planète,Pianeta,行星,Planet,Planeta,행성,Planet,Bolygó,プラネット,Planeet,Планета
PLANETS,Planets,Planètes,Pianeti,行星,Planeten,Planetas,행성,Planeter,Bolygók,惑星,Planeten,Планеты
SYSTEM,System,Système,Sistema,恒星系,System,Sistema,항성계,System,Rendszer,星系,Systeem,Система
SYSTEMS,Systems,Systèmes,Sistemi,恒星系,Systeme,Sistemas,,System,Rendszerek,星系,Systemen,Системы
GALAXY,Galaxy,Galaxie,Galassia,星系,Galaxie,Galaxia,은하,Galax,Galaxis,銀河系,Heelal,Галактика
GALAXIES,Galaxies,Galaxies,Galassie,星系,Galaxien,Galaxias,,Galaxer,Galaxisok,銀河系,Heelallen,Галактики
GALAXY_GROUP,Galaxy group,Groupe de galaxies,Gruppo di galassie,星系群,Galaxiengruppe,Grupo galáctico,,Galaxgrupp,Galaxiscsoport,銀河団,Sterrenstelselgroep,Группа галактик
GALAXY_CLUSTER,Galaxy cluster,Amas de galaxies,Ammasso di galassie,星系团,Galaxienhaufen,Clúster galáctico,,Galaxkluster,Galaxishalmaz,銀河団,Sterrenstelselcluster,Кластер галактик
CLUSTER,Cluster,Amas,Ammasso,星系团,Cluster,Cúmulo,,,Halmaz,銀河団,Cluster,Кластер 
CLUSTERS,Clusters,Amas,Ammassi,星系团,Cluster,Cúmulos,,Kluster,Halmazok,銀河団,Clusters,Кластеры
SUPERCLUSTER,Supercluster,Superamas,Superammasso,超星系团,Supergalaxienhaufen,Supercúmulo,,Superkluster,Szuperhalmaz,超銀河団,Supercluster,Суперкластер
SUPERCLUSTERS,Superclusters,Superamas,Superammassi,超星系团,Supergalaxienhaufen,Supercúmulos,,Superkluster,Szuperhalmazok,超銀河団,Superclusters,Суперкластеры
UNIVERSE,Universe,Univers,Universo,宇宙,Universum,Universo,우주,Universum,Univerzum,宇宙,Universum,Вселенная
DIMENSION,Dimension,Dimension,Dimensione,次元,Dimensionen,Dimensión,차원,Dimention,Dimenzió,次元,Dimensie,Измерение
VIEW_GALAXY,View the galaxy this system is in,Voir la galaxie contenant ce système,Visualizzare la galassia contenente questo sistema,查看这个恒星系所在的星系,Entdeckte Galaxien in diesem System anzeigen,Ver la galaxia en donde se encuentra este sistema,,Granska systemets galax,A rendszer galaxisának megtekintése,この星系が属する銀河系を見る,Bekijk het omvattende heelal,Показать галактику в которой находится эта система
VIEW_CLUSTER,View the cluster this galaxy is in,Voir l'amas contenant cette galaxie,Visualizzare l'ammasso contenente questa galassia,查看这个星系所在的星系团,Entdeckte Cluster in dieser Galaxie anzeigen,Ver el cúmulo en donde se encuentra esta galaxia,,Granska galaxens kluster,A galaxis halmazának megtekintése,この銀河系が属する銀河団を見る,Bekijk de omvattende cluster,Показать кластер в котором находится эта галактика
VIEW_UNIVERSE,View the universe this cluster is in,Voir l'univers contenant ce amas,Visualizzare l'universo contenente questo ammasso,查看这个超星系团所在的宇宙,Entdeckte Supercluster in diesem Universen anzeigen,Ver el universo en donde se encuentra este supercúmulo,,Granska supersklustrets universum,A szuperhalmaz univerzumának megtekintése,この超銀河団が属する宇宙を見る,Bekijk het omvattende universum,Показать вселенную в которой этот суперкластер
VIEW_DIMENSION,View discovered universes in this dimension,Voir les univers découverts dans cette dimension,Visualizzare gli universi scoperti in questa dimensione,查看这个宇宙所在的次元,Entdeckte Universen in dieser dimension anzeigen,Ver universos descubiertos en esta dimensión,,Granska upptäkta universum i denna dimmention,Az ebben a dimenzióban felfedezett univerzumok megtekintése,この宇宙が属する次元を見る,Bekijk de ontdekte universums in deze dimensie,Показать найденные вселенные в этом измерении
GENERATING_CLUSTER,Generating cluster... (%s / %s galaxies),zh de es hu ja nl ru,Generazione dell'ammasso (%s / %s galassie),星系团生成中... (%s / %s 星系),Generiere Cluster... (%s / %s Galaxien),Generando clúster... (%s / %s galaxias),,Genererar kluster... (%s / %s galaxer),Halmaz készítése... (%s / %s galaxis),銀河団の生成中...（%s /%s銀河系）,Cluster genereren... (%s / %s sterrenstelsels),Генерация кластера... (%s / %s галактик)
GENERATING_GALAXY,Generating galaxy... (%s / %s systems),Génération de la galaxie (%s / %s systèmes),Generazione della galassia (%s / %s sistemi),星系生成中... (%s / %s 恒星系),Generiere Galaxie ... (%s / %s Systemen),Generando galaxia... (%s / %s sistemas solares) ,은하 로딩 중... (%s / %s 항성계),Genererar galax... (%s / %s system),Galaxis készítése... (%s / %s rendszer),銀河系の生成中...（%s/%s星系）,Heelal genereren... (%s / %s zonnestelsels),Генерация галактики... (%s / %s систем)
MINERAL_SOLD,You sold %s minerals for $%s!,Vous avez vendu %s minéraux pour $%s!,Hai venduto %s minerali per $%s!,你卖出了 %s 块水晶，赚了 %s 元！,Du hast %s Mineralien für $%s verkauft!,Vendiste %s minerales por $%s!,%s 광물을 $%s로 팔았습니다,Du sålde %s mineraler för $%s!,Eladtál %s ásványt $%s-ért!,%s鉱石を$%sで販売しました！,Je verkocht %s mineralen voor $%s!,Продано %s минералов за $%s!
DIAMETER,Diameter,Diamètre,Diametro,直径,Durchmesser,Diámetro,,Diameter,Átmérő,直径,Diameter,Диаметр
DISTANCE_FROM_STAR,Distance from star,Distance de l'étoile,Distanza dalla stella,距离恒星,Entfernung zum Stern,Distancia de la estrella,,Distans från stjärna,Távolság a csillagtól,星からの距離,Afstand tot ster,Дистанция от звезды
SURFACE_TEMPERATURE,Surface temperature,Température de surface,Temperatura superficiale,地表温度,Oberflächentemperatur,Temperatura en la superficie,,Yttemperatur,Felszíni hőmérséklet,表面温度,Oppervlaktetemperatuur,Температура поверхности
ATMOSPHERE_PRESSURE,Atmospheric pressure,Pression atmosphérique,Pressione atmosferica,大气压,Atmosphärendruck,Presión atmosférica,,Atmosfärstryck,Légnyomás,大気圧,Atmosferische druk,Атмосферное давление
MORE_DETAILS,Shift click to view more details,Maj + clic pour voir plus de détails,Shift + clic per vedere più dettagli,Shift+单击以查看更多信息,Shift Klick für mehr details,Shift click para ver más detalles,,"Klicka ""Shift"" för att se mer detaljer",Shift+kattints több információért,シフトクリックで詳細表示,Shift klik voor meer details,
DARK_ENERGY,Dark energy,Énergie noire,Energia oscura,暗能量,Dunkle Energie,Energía oscura,,Mörk energi,Sötét energia,ダークエネルギー,Donkere energie,Темная энергия
DARK_MATTER,Dark matter,Matière noire,Materia oscura,暗物质,Dunkle Materie,Materia oscura,,Mörk materia,Sötét anyag,ダークマター,Donkere materie,Темная материя
B_STRENGTH,Magnetic field strength,Intensité du champ magnétique,Intensità del campo magnetico,磁场强度,Magnetische Feldstärke,Fuerza del campo magnético,,Magnetfältstyrka ,Mágneses mezőerősség,磁界の強さ,Magnetische veldsterkte,Сила магнитного поля
DIFFICULTY,Difficulty,Difficulté,Difficoltà,难度,Schwierigkeit,Dificultad,난이도,Svårhetsgrad,Nehézség,難易度,Moeilijkheid,Сложность
DISCOVERED_UNIVERSES,Discovered universes,Univers découverts,Universi scoperti,已发现的宇宙,Entdeckte Universen,Universos descubiertos,발견한 우주들,Upptäkta universum,Felfedezett univerzumok,発見した宇宙,Ontdekte universums,Обнаруженные вселенные
DR_TITLE,Dimension remnants (DRs),Résidu-dimension (RD),Rimanenze dimensionali (RD),次元剩余部分,Dimensionenreste (DR),Residuos dimensionales (RD),,Dimensionella rester (DR),Dimenziómaradványok (DM),ディメンション・レムナント（DR）,Dimensie restanten (DRs),Остатки измерений (DRs)
DR,DRs,RD,RD,次元剩余部分,DR,RD,,DR,DM,DRs,DRs,DRs
NEW_DIMENSION,New dimension,Nouvelle dimension,Nuova dimensione,新次元,Neue Dimension,Nueva dimensión,새로운 차원,Ny dimension,Új dimenzió,新次元,Nieuwe dimensie,Новое измерение
MATHS,Mathematics,Mathématiques,Matematica,数学,Mathematik,Matemáticas,수학,Matematik,Matematika,数学,Wiskunde,Математика
PHYSICS,Physics,Physique,Fisica,物理学,Physik,Física,물리학,Fysik,Fizika,物理学,Fysica,Физика
CHEMISTRY,Chemistry,Chimie,Chimica,化学,Chemie,Química,화학,Kemi,Kémia,化学,Chemie,Химия
BIOLOGY,Biology,Biologie,Biologia,生物学,Biologie,Biología,생물학,Biologi,Biológia,生物学,Biologie,Биология
PHILOSOPHY,Philosophy,Philosophie,Filosofia,哲学,Philosophie,Filosofía,철학,Filosofi,Filozófia,フィロソフィー,Filosofie,Философия
ENGINEERING,Engineering,Ingénierie,Ingegneria,工程学,Ingineurswesen,Ingeniería,공학,Teknik,Technika,エンジニアリング,Ingenieurswezen,Инженерия
DIMENSIONAL_POWER,Dimensional Power,Puissance dimensionnelle,Potenza dimensionale,次元能量,Dimensionale Kräfte,Poder dimensional,차원력,Dimensionell kraft,Dimenzióerő,次元パワー,Dimensionele Kracht,Сила измерения
LV,Lv,Nv,Lv,等级,Lvl,Nvl,Lv,Lvl,Lv,Lv,Lvl,Ур
INVEST,Invest,Investir,Investire,花费,Investieren,Invertir,투자,Investera,Befektetés,投資,Inversteer,Вложить
LAYER,Layer,Couche,Strato,层级,Ebene,Capa,계층,Lager,Réteg,レイヤー,Laag,Слой
SURFACE,Surface,Surface,Superficie,地表,Oberfläche,Superficie,,Yta,Felszín,表面,Oppervlakte,Поверхность
CRUST,Crust,Croûte,Crosta,地壳,Kruste,Corteza,지각,Skorpa,Kéreg,クラスト,Korst,Кора
CRUST_COMPOSITION,Crust composition,Composition de la croûte,Composizione della crosta,地壳成分,Krustenzusammensetzung,Composición de la corteza,지각 구성,Skorpkomposition,Kéregösszetétel,クラストの組成,Korstsamenstelling,Состав коры
MANTLE,Mantle,Manteau,Mantello,地幔,Mantel,Manto,맨틀,Mantel,Köpeny,マントル,Mantel,Мантия
MANTLE_COMPOSITION,Mantle composition,Composition du manteau,Composizione del mantello,地幔成分,Mantelzusammensetzung,Composición del manto,맨틀 구성,Mantelkompositon,Köpenyösszetétel,マントルの組成,Mantelsamenstelling,Состав мантии
CORE,Core,Noyau,Nucleo,地核,Kern,Núcleo,핵,Kärna,Mag,コア,Kern,Ядро
CORE_COMPOSITION,Core composition,Composition du noyau,Composizione del nucleo,地核成分,Kernzusammensetzung,Composición del núcleo,핵 구성,Kärnkomposition,Magösszetétel,コアの組成,Kernsamenstelling,Состав ядра
TRACE,Trace,Traces,Altri,微量元素,Spuren,Otros,,Spår,Nyomok,トレース,Spoor,След
TRACE_ELEMENTS,Trace elements,Traces,Altri elementi,微量元素,Spurenelemente,Otros elementos,,Spårämne,Nyomelemek,微量元素,Sporenelementen,След элементов
INV_MAT_DESC,"Materials are required to do various tasks in the game, including crafting, space agriculture and resource conversion.","Les matériaux sont utilisés partout: fabrication, agriculture spatiale, conversion de ressources etc.","I materiali servono per varie cose: fabbricazione, agricoltura spaziale, conversione delle risorse ecc.",原料在游戏中用于完成各种任务，包括制造、太空农业和资源转换。,"Materialen werden benötigt um verschiedene Aufgaben im Spiel zu erfüllen, einschießlich Handwerk, Weltraumlandwirtschaft und Ressourcenumwandlung.","Los materiales son requeridos para hacer diversas tareas en el juego, incluyendo fabricación, agricultura espacial y conversión de recursos.",,"Material krävs för att utföra olika uppgifter i spelet, inklusive hantverk, rymdjordbruk och resursomvandling. ",,材料は、クラフト、宇宙農業、資源変換など、ゲーム内のさまざまな作業を行うために必要です。,"Materialen zijn vereist voor verschillende taken in het spel, waaronder gereedschap maken, ruimte-landbouw, en grondstoffen omzetten.","Материалы необходимы для выполнения различных задач в игре, включая крафт, космические фермы и преобразование ресурсов."
MATERIALS,Materials,Matériaux,Materiali,原料,Materialien,Materiales,재료,Matrial,Anyagok,素材,Materialen,Материалы
SPEEDUPS,Speed-ups,Speed-ups,Speed-up,建造加速卡,Beschleuniger,Aceleradores,스피드업,Speed-ups,Építésgyorsító,スピードアップ,Speed-ups,Ускорители
SPEEDUPS_DESC2,Accelerates by %s,Accélère de %s,Accelera di %s,可加速建造 %s,Beschleunigt um %s,Acelera por %s,%s 가속화,Accelerar med %s,Ennyivel gyorsít:,加速(%s),Versnelt met %s,Ускоряется на %s
SPEEDUP,Speed-up,Speed-up,Speed-up,建造加速卡,Beschleunigung,Acelerador ,스피드업,Speed-up,Építésgyorsító,スピードアップ,Speed-up,Ускоритель
OVERCLOCKS,Overclocks,Overclocks,Overclock,超频器,Übertaktungen,Overclocks,오버클럭,Överklockningar,Gyorsítók,オーバークロック,Overclocks,Разгоны
OVERCLOCK,Overclock,Overclock,Overclock,超频器,Übertaktung,Overclock,오버클럭,Överklocka,Gyorsító,オーバークロック,Overclock,Разгон
OVERCLOCKS_DESC2,Production multiplier: %s\nDuration: %s,Multiplicateur de production: %s\nDurée: %s,Moltiplicatore di produzione: %s\nDurata: %s,增产倍数: %s\n持续时间: %s,Produktions Multiplikator um %s \n Dauer %s,Multiplicador de producción: %s\nDuración: %s,생산 승수: %s\n기간: %s,Produktionsmultiplikator: %s \ nLängd: %s,Termelési szorzó: %s\nIdőtartam: %s,生産乗数：%s\n持続時間：%s,Productie vermenigvuldiger:%s\nDuur: %s,Производственный мультипликатор: %s\nДлительность: %s
PICKAXES,Pickaxes,Pioches,Picconi,矿镐,Spitzhacken,Picos,곡괭이,Hackor,Csákányok,つるはし,Pikhouwelen,Кирки
SPEEDUPS_DESC,Speed-up items instantly accelerate construction of a building.,Les speed-ups accélèrent la construction d'un bâtiment.,Gli speed-up accelerano la costruzione di un edificio.,赶工卡瞬间加速建筑的施工时间。,Beschleuniger sind Gegenstände die sofort die Konstruktion eines Gebäudes vorrantreiben.,Los aceleradores instantaneamente aceleran la construcción de un edificio.,,Speed-up föremål påskyndar omedelbart konstruktionen av en byggnad. ,Az építésgyorsítók azonnal felgyorsítjak egy épület építesét.,スピードアップアイテムは、建物の建設を瞬時に加速させるアイテムです。,Speed-ups verkorten de bouwtijd van gebouwen onmiddelijk.,Ускоряющие предметы мгновенно ускоряют строительство здания.
OVERCLOCKS_DESC,Overclock items temporarily boost resource production of the affected buildings.,Les overclocks accélèrent la production des ressources d'un bâtiment pendant un certain temps.,Gli overclock accelerano temporaneamente la produzione delle risorse di un edificio.,超频器暂时增产资源建筑的产量。,Übertakter Gegenstände erhöhen temporär die Ressourcenproduktion des betroffenen gebäudes,Los Overclocks temporalmente aumentan la producción de recursos de los edificios seleccionados.,,Överklockningsföremål ökar tillfälligt resursproduktionen av de drabbade byggnaderna. ,A gyorsítók egy megadott ideig megnövelik egy épület termelését.,オーバークロックアイテムは、対象となる建物の資源生産量を一時的に増加させます。,Overclocks geven een tijdelijke boost aan de productie van gebouwen.,"Предметы ""Разгон"" временно увеличивают производство в постройках."
PICKAXES_DESC,Pickaxes allow you to mine a planet for various resources.,Les pioches permettent de miner une planète pour des ressources.,I picconi ti permettono di minare un pianeta per varie risorse.,矿镐允许你在一个星球上挖掘各种矿物资源！,Spitzhacken erlauben es auf Planeten nach vorhandenen Ressourcen zu schürfen,Los picos te permiten minar un planeta por varios recursos.,,Hackor låter dig bryta olika resurser ur en planet.,A csákányokkal különböző anyagokat tudsz bányászni.,つるはしで惑星を採掘し、さまざまな資源を得ることができます。,Pikhouwelen maken het mogelijk in de planeet te delven naar grondstoffen.,Кирки позволяют добывать на планете различные ресурсы.
STICK,Stick,Bâton,Bastone,小木棍,Stock,Palo,,Pinne,Bot,枝,Stok,Палка
STICK_DESC,Use a stick to mine your very first rocks.,Utilisez un bâton pour miner vos premiers minerais.,Usare un bastone per minare le prime rocce.,用你手里的小木棍来挖掘人生中的第一枚石块儿,Nutze einen Stock um deinen ersten Stein abzubauen,Usa un palo para minar tus primeras piedras.,,Use a stick to mine your very first rocks.,Használy egy botot az első köved bányászásához.,枝を使って、石を叩きます。最初はみんなこれ。,Gebruik een stok om je eerste stenen te delven.,"Используйте палку, чтобы добыть свои самые первые камни."
NOT_ENOUGH_MONEY,You don't have enough money.,Vous n'avez pas assez d'argent.,Non hai abbastanza soldi.,你没有足够的资金,Du hast nicht genug Geld,No tienes suficiente dinero.,돈이 부족합니다.,Använd en pinne för att bryta dina allra första stenar.,Nincs elég pénzed.,資金が不足しています。,Je hebt niet voldoende geld.,Недостаточно денег
REPLACE_PICKAXE,Replace your %s with a %s?,Remplacer %s par %s?,Sostituire %s con %s?,将 %s 替换为 %s？,Deine %s mit einer %s ersetzen?,Deseas reemplazar tu %s por un %s?,%s를 %s로 바꾸겠습니까?,Ersätt din% s med en %s?,Helyettesíted a mostaní csákányodat (%s) ezzel: %s?,%sを%sに置き換えますか？,Wil je je %s vervangen door een %s?,Заменить %s на %s?
BUY_PICKAXE,You bought a %s!,Vous avez acheté un(e) %s!,Hai comprato un(a) %s!,你买下了%s！,Du hast eine %s gekauft!,Compraste un %s!,%s를 구입했습니다.,Du köpte en %s!,Megvetted ezt: %s!,%sを購入しました！,Je kocht een %s!,Вы купили %s!
PICKAXE_BROKE,Your pickaxe broke!,Votre pioche a cassé!,Il tuo piccone si è rotto!,矿镐损坏了！,Deine Spitzhacke ist Zerbrochen!,Tu pico se rompió!,곡괭이가 부서졌습니다.,Din hacka gick sönder!,Eltört a csákányod!,つるはしが壊れた！,Je pikhouweel brak!,Кирка сломалась!
AUTO_REPLACE,Auto replace,Remplacement automatique,Sostituzione automatica,自动替换,Automatisches ersetzen,Reemplazar automáticamente,자동 교체,Autoersätt,Automatikus helyettesítés,自動交換,Automatisch vervangen,Автозамена
AUTO_REPLACE_DESC,"Checking this will make the game automatically buy the same pickaxe once the current one breaks, if you have the money.","Cocher pour racheter automatiquement la même pioche si la pioche actuelle casse, à condition d'avoir assez d'argent.",Il gioco proverà a comprare automaticamente lo stesso piccone una volta quello attuale si rompe.,如果你有足够的钱，矿镐损坏后将自动购买与之前相同的矿镐。,Mit dieser Auswahl wird das Spiel automatisch die gleiche Spitzhacke erneut kaufen wenn das Geld ausreicht.,"Marcar esta casilla hará que el juego automáticamente compre el pico que tenías cuando se rompa, si tienes dinero suficiente.",,"Om du checkar i detta kommer spelet automatiskt att köpa samma hacka när den nuvarande går sönder, om du har pengar. ","Ezt bekapcsolva amikor eltörik a csákányod, a játék automatikusan vesz neked egy ugyanolyat, ha van rá pénzed.",これをチェックすると、今使っているつるはしが壊れたら、お金があれば自動的に同じつるはしを買ってくれるようになります。,"Het spel zal automatisch een nieuwe pikhouweel kopen wanneer je huidige breekt, als je voldoende geld hebt.","Установка этого флажка заставит игру автоматически покупать такую же кирку, если у вас есть деньги."
MINING_SPEED,Mining speed,Vitesse de minage,Velocità di scavo,挖掘速率,Abbaugeschwindigkeit,Velocidad de picado,,Grävhastighet,Bányászsebesség,採掘速度,Delfsnelheid,Скорость добычи
DURABILITY,Durability,Durabilité,Durabilità,耐久度,Haltbarkeit,Durabilidad,내구성,Hållbarhet,,耐久性,Duurzaamheid,Прочность
COAL,Coal,Charbon,Carbone,煤,Kohle,Carbón,석탄,Kol,Szén,石炭,Kool,Уголь
GLASS,Glass,Verre,Vetro,玻璃,Glas,Vidrio,유리,Glas,Üveg,ガラス,Glas,Стекло
SAND,Sand,Sable,Sabbia,沙子,Sand,Arena,모래,Sand,Homok,砂,Zand,Песок
CLAY,Clay,Argile,Argilla,粘土,Lehm,Arcilla,점토,Lera,Agyag,粘土,Klei,Глина
SOIL,Soil,Terre,Terra,黑土,Erde,Tierra,흙,Jord,Föld,土壌,Aarde,Почва
CELLULOSE,Cellulose,Cellulose,Cellulosa,纤维素,Zellulose,Celulosa,셀룰로오스,Cellulosa ,Cellulóz,セルロース,Cellulose,Целлюлоза
ENTER_PLANET_NAME,Enter planet name,Entrer nom de planète,Inserire nome di pianeta,给行星起个名字吧,Planetenname eingeben,Introduce el nombre del planeta,행성 이름 입력하기,Fyll i planetnamnet,Írd be a bolygó nevét,惑星名を入力,Planeetnaam ingeven,Введите имя планеты
DEPTHS,Depths,Profondeurs,Profondità,深度,Tiefe,Profundidades,깊이,Djup,Mélységek,深層部,Diepten,Глубина
MAIN_SEQUENCE,Main sequence,De la séquence principale,Di sequenza principale,主序光谱,Hauptsequenz,Secuencia Principal,,Huvudsekvens,Fősorozati,主系列星,Hoofdreeks,Главная последовательность
GIANT,Giant,Géante,Gigante,巨星,Gigant,Gigante,,Jätte,Óriás,巨星,Reus,Гигант
SUPERGIANT,Supergiant,Supergéante,Supergigante,超巨星,Supergigant,Supergigante,,Superjätte,Szuperóriás,超巨星,Superreus,Супергигант
HYPERGIANT,Hypergiant,Hypergéante,Ipergigante,特超巨星,Hypergigant,Hipergigante,,Hyperjätte,Hiperóriás,極超巨星,Hyperreus,Гипергигант
WHITE_DWARF,White dwarf,Naine blanche,Nana bianca,白矮星,Weißer Zwerg,Enana blanca,,Vit dvärj,Fehér törpe,白色矮星,Witte dwerg,Белый карлик
BROWN_DWARF,Brown dwarf,Naine brune,Nana bruna,褐矮星,Brauner Zwerg,Enana marrón,,Brun dvärj,Barna törpe,褐色矮星,Bruine dwerg,Коричневый карлик
STAR_TITLE,Class {class} {type} star,Étoile {type} de classe {class},Stella {type} di classe {class},{class} {type} 恒星,{class} Klasse {type} Stern,Estrella {type} de clase {class},,Klass {class} {type} stjärna,{class} osztályú {type} csillag,クラス {class} {type},Klasse {class} {type} ster,Класс {class} {type} звезда
STAR_TEMPERATURE,Temperature: %s K,Température: %s K,Temperatura: %s K,温度: %s千摄氏度,Temperatur: %s Kelvin,Temperatura: %s K,온도: %s K,Temperatur: %s K,Hőmerséklez: %s K,温度：%s k,Temperatuur: %s K,Температура: %s K
STAR_SIZE,Radius: %s,Rayon: %s,Raggio: %s,半径: %s,Radius: %s,Radio: %s,,Radie: %s,Sugár: %s,半径：%s,Radius: %s,Радиус: %s
SOLAR_RADII,Solar radii,Rayons solaires,Raggi solari,太阳半径,Sonnenradien,Radios solares,,Solradier,napsugár,太陽系半径,Zonneradii,Солнечный радиус
